ID,Weight
home,76227
ViewHeaderViewAccountIdentification,32662
WorldWideWeb,200585
cms_000147,18728
Search,17847
ViewParametricSearchSimpleOfferSearch?internalSearch,35686
ViewParametricSearchSimpleOfferSearch,13146
C11,18759
ViewUserAccountProcessLogin,20723
C159510,7420
C16,5138
C1632,4820
ViewHeaderViewReference,11791
DefaultStart,6735
ViewUserAccountStart,11285
ViewOrdersSimpleOrderSearch,12562
/CUSTOMV2/,3465
ViewCartCheckoutClassic,4723
ViewUserAccountShowRegisterClassic,6181
C1110,15608
C1920,9474
ViewUserAccountDispatch,3017
ViewParametricSearchProductPaging,5199
C12,4297
SkuPDT02510,1465
C1140,11936
OFF_FR_15087,1233
C1510,8494
C1738,3511
C1310,9477
SkuOFF_FR_1978,2025
C1910,5077
ViewOrderTemplateViewAll,3304
C1580,1541
C2120,5172
ViewOrdersDispatch,2320
SkuPDT12619,1022
C22,3149
C151320,1172
ViewCartView,2699
cms_000133,1258
SkuPDT01203,1224
C213010,814
SkuPDT586590,1061
cms_000049,1436
cms_000054,1426
cms_000045,3467
DimSearchStartBox,8461
C1216,3582
C2311,6469
C2211,2296
C1410,6747
OFF_FR_434,1391
C118010,1502
PDT163582,791
C1210,3752
PDT02198,1786
SkuOFF_FR_439,800
PDT02536,1991
OFF_FR_114,2015
C2028,2681
OFF_FR_297,2024
C163220,1361
PDT02510,1214
C191030,1365
ViewUserAccountShowLoginClassic,652
C157030,811
PDT01545,873
OFF_FR_414,1159
C13,2261
C111012,3066
C173820,1664
C1930,4355
SkuOFF_FR_1741,643
PDT01547,1608
OFF_FR_115,1631
SkuOFF_FR_1734,782
C1965,1810
ViewUserAddressListList,1768
PDT00472,1644
SkuPDT02254,504
C17,1422
C2313,4461
SkuPDT01317,792
C192010,1532
C221112,1018
C2050,3227
ViewCheckoutShippingDispatch,978
C2260,3014
SkuPDT02308,545
OFF_FR_296,1228
C111010,2658
C1195,4095
C143010,762
ViewStandardCatalogBrowse,5881
SkuUnMastered,2679
PDT00302,1345
SkuPDT00360,749
C174010,677
SkuOFF_FR_152,658
SkuOFF_FR_15086,683
C194070,668
C1710,3732
PDT02454,947
C231611,1130
C1530,2392
C1550,1658
OFF_FR_411,1458
C21,1692
C165210,970
SkuOFF_FR_1253,641
SkuOFF_FR_1724,579
SkuOFF_FR_1548,806
C1120,5073
C1940,1720
OFF_FR_1978,2035
OFF_FR_123,799
C157020,733
C19,1455
cms_000032,1954
ViewContactDispatch,477
cms_000035,561
C1513,3086
C131010,1659
C2045,1352
C1420,2230
cms_000075,1636
C2018,1784
cms_000093,685
SkuPDT01453,544
C1620,2269
C2122,2198
SkuPDT02274,417
SkuPDT01658,502
C116030,791
PDT176586,761
C1213,3890
C23,2049
C139330,615
C1160,2995
PDT00360,1057
OFF_FR_537,693
C1880,780
SkuOFF_FR_1956,321
/catalogues,1151
C1860,998
PDT01531,938
C2312,1932
C212010,969
SkuPDT00294,301
C145010,489
C1212,3489
C2150,1753
SkuPDT01294,388
SkuPDT02536,448
C204520,847
OFF_FR_1833,1411
SkuOFF_FR_15002,860
C2110,2132
cms_000047,1530
SkuOFF_FR_1733,343
PDT00747,532
PDT02382,890
C14,1896
SkuOFF_FR_1193,509
SkuPDT02008,525
SkuPDT01219,400
C1950,883
C195010,1214
OFF_FR_129,1190
SkuOFF_FR_2018,356
C1320,2862
C2270,2384
cms_000085,848
OFF_FR_1828,636
OFF_FR_388,809
C221413,432
ViewEquipierStepByStepStart,819
ViewEquipierStepByStepViewAccountIdentification,362
C163231,831
SkuPDT00296,285
cms_000023,336
cms_000048,895
SkuOFF_FR_1821,388
cms_000039,922
C221114,544
SkuPDT240591,454
ViewUserAskCatalogV2Send,356
C151510,588
SkuOFF_FR_9775,291
PDT01213,780
C1570,1070
OFF_FR_413,861
C2299,1789
C192060,989
PDT01642,577
OFF_FR_431,701
PDT01193,679
OFF_FR_029,545
PDT01366,604
PDT00893,933
SkuOFF_FR_494,290
SkuOFF_FR_143,425
SkuOFF_FR_9881,251
SkuOFF_FR_1831,276
SkuOFF_FR_175,373
SkuOFF_FR_2006,267
SkuOFF_FR_1262,277
C2126,1321
SkuPDT00710,286
C165319,392
C191020,471
SkuPDT234594,510
C173830,835
SkuPDT01866,221
cms_000042,740
SkuOFF_FR_1652,443
C1180,2249
SkuOFF_FR_9662,290
OFF_FR_408,973
C221312,445
OFF_FR_1950,421
OFF_FR_118,763
PDT01543,670
C1211,3028
SkuOFF_FR_014,720
SkuPDT01324,454
PDT02418,735
SkuOFF_FR_129,748
SkuOFF_FR_1881,261
OFF_FR_385,555
OFF_FR_439,1000
cms_000073,543
SkuOFF_FR_337,284
SkuOFF_FR_1616,295
OFF_FR_132,1064
PDT00545,285
PDT00322,392
C1170,2230
SkuOFF_FR_1955,542
C111014,942
PDT00335,632
SkuOFF_FR_1875,382
C194050,595
C1630,2364
SkuOFF_FR_1621,491
SkuPDT01300,259
C194048,331
ViewParametricSearchBrowse,1290
C223511,360
C121010,957
OFF_FR_116,949
OFF_FR_008,1064
PDT02214,455
C1720,1492
PDT501594,346
cms_000020,638
C2040,1045
C1653,1893
SkuOFF_FR_1835,241
cms_000031,1192
PDT02468,560
C2025,1377
OFF_FR_063,586
SkuOFF_FR_033,361
C139345,536
C224011,368
C191010,629
SkuPDT00209,308
C1960,1076
SkuPDT499590,295
PDT345612,336
PDT01536,626
SkuOFF_FR_1770,430
C134010,377
OFF_FR_0950,580
C1437,1483
PDT39575,502
OFF_FR_1033,485
OFF_FR_1042,484
OFF_FR_2057,443
C221212,287
C165322,436
PDT00840,369
C1640,1882
SkuPDT361580,224
cms_000025,348
PDT01535,778
PDT234594,692
OFF_FR_113,591
C15,1625
PDT01321,505
SkuPDT01626,291
OFF_FR_0789,513
C1393,1562
C223013,311
PDT09582,555
OFF_FR_449,410
C227011,462
SkuPDT01706,164
