Source,Target,Traffic
ViewParametricSearchBrowse,LA31,2
ViewParametricSearchBrowse,SLP30A,2
ViewParametricSearchBrowse,RGP07,2
ViewParametricSearchBrowse,SPR10,2
ViewParametricSearchBrowse,OFF_FR_132,2
ViewParametricSearchBrowse,PDT00884,2
ViewParametricSearchBrowse,PDT02349,2
ViewParametricSearchBrowse,PDT82578,2
ViewParametricSearchBrowse,C1930,2
ViewParametricSearchProductPaging,PDT01215,2
ViewParametricSearchProductPaging,PDT02326,2
ViewParametricSearchProductPaging,PDT02324,2
ViewParametricSearchProductPaging,PDT01607,2
ViewParametricSearchProductPaging,PDT523581,2
ViewParametricSearchProductPaging,PDT00150,2
ViewParametricSearchProductPaging,PDT02268,2
ViewParametricSearchProductPaging,PDT01846,2
ViewParametricSearchProductPaging,OFF_FR_1242,2
ViewParametricSearchProductPaging,PDT00584,2
ViewParametricSearchProductPaging,PDT263580,2
ViewParametricSearchProductPaging,C1570,2
ViewParametricSearchProductPaging,BOR30,2
ViewParametricSearchProductPaging,RPT106,2
ViewParametricSearchProductPaging,RPT123,2
ViewParametricSearchProductPaging,RPT11A,2
ViewParametricSearchProductPaging,PDT01531,2
ViewParametricSearchProductPaging,BL120,2
ViewParametricSearchProductPaging,OFF_FR_1574,2
ViewParametricSearchProductPaging,PDT00340,2
ViewParametricSearchProductPaging,E1,2
ViewParametricSearchProductPaging,CAD50B,2
ViewParametricSearchProductPaging,CAD47,2
ViewParametricSearchProductPaging,C10G,2
ViewParametricSearchProductPaging,CAS244,2
ViewParametricSearchProductPaging,CAS07,2
ViewParametricSearchProductPaging,CAS08B,2
ViewParametricSearchProductPaging,COT80,2
ViewParametricSearchProductPaging,CAD53B,2
ViewParametricSearchProductPaging,OFF_FR_2059,2
ViewParametricSearchProductPaging,PDT267580,2
ViewParametricSearchProductPaging,CAS40E,2
ViewParametricSearchProductPaging,CPRD20,2
ViewParametricSearchProductPaging,CFAD315,2
ViewParametricSearchProductPaging,OFF_FR_2041,2
ViewParametricSearchProductPaging,PDT00366,2
ViewParametricSearchProductPaging,OFF_FR_299,2
ViewParametricSearchProductPaging,PDT01501,2
ViewParametricSearchProductPaging,PDT465580,2
ViewParametricSearchProductPaging,OFF_FR_480,2
ViewParametricSearchProductPaging,cms_000048,2
ViewParametricSearchProductPaging,PDT498582,2
ViewParametricSearchProductPaging,OFF_FR_0903,2
ViewParametricSearchProductPaging,OFF_FR_15057,2
ViewParametricSearchProductPaging,OFF_FR_008,2
ViewParametricSearchProductPaging,OFF_FR_1819,2
ViewParametricSearchProductPaging,OFF_FR_449,2
ViewParametricSearchProductPaging,PDT00187,2
ViewParametricSearchProductPaging,PDT02411,2
ViewParametricSearchProductPaging,OFF_FR_9977,2
ViewParametricSearchProductPaging,OFF_FR_10029,2
ViewParametricSearchProductPaging,OFF_FR_9394,2
ViewParametricSearchProductPaging,OFF_FR_9561,2
ViewParametricSearchProductPaging,OFF_FR_10072,2
ViewParametricSearchProductPaging,OFF_FR_10071,2
ViewParametricSearchProductPaging,C2028,2
ViewParametricSearchProductPaging,PDT01233,2
ViewParametricSearchProductPaging,OFF_FR_134,2
ViewParametricSearchProductPaging,OFF_FR_0885,2
ViewParametricSearchProductPaging,OFF_FR_9438,2
ViewParametricSearchProductPaging,OFF_FR_9584,2
ViewParametricSearchProductPaging,PDT02391,2
ViewParametricSearchProductPaging,PDT341585,2
ViewParametricSearchProductPaging,PDT01409,2
ViewParametricSearchProductPaging,PDT00155,2
ViewParametricSearchProductPaging,OFF_FR_9306,2
ViewParametricSearchProductPaging,OFF_FR_1138,2
ViewParametricSearchProductPaging,OFF_FR_1135,2
ViewParametricSearchProductPaging,OFF_FR_1755,2
ViewParametricSearchProductPaging,OFF_FR_0954,2
ViewParametricSearchProductPaging,C16,2
ViewParametricSearchProductPaging,OFF_FR_1900,2
ViewParametricSearchProductPaging,OFF_FR_1951,2
ViewParametricSearchProductPaging,OFF_FR_1494,2
ViewParametricSearchProductPaging,OFF_FR_0853,2
ViewParametricSearchProductPaging,PDT398594,2
ViewParametricSearchProductPaging,PDT00444,2
ViewParametricSearchProductPaging,PDT00451,2
ViewParametricSearchProductPaging,PDT400580,2
ViewParametricSearchProductPaging,PDT00229,2
